date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:52	4185/4185	---M--	200	added ('OK')	image/png	etag:%226229ac5f-2a4b%22	https://templates.envytheme.com/plonk/default/assets/images/white-logo.png	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/assets/images/white-logo.png	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:53	72491/72491	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2007:44:14%20GMT	https://templates.envytheme.com/plonk/default/index-2.html	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/index-2.html	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:53	71839/71839	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2007:44:14%20GMT	https://templates.envytheme.com/plonk/default/index-3.html	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/index-3.html	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:53	55040/55040	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2007:44:12%20GMT	https://templates.envytheme.com/plonk/default/about.html	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/about.html	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:53	36149/36149	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2007:44:14%20GMT	https://templates.envytheme.com/plonk/default/events.html	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/events.html	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:54	34080/34080	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2007:44:15%20GMT	https://templates.envytheme.com/plonk/default/schedules.html	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/schedules.html	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:54	30261/30261	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2007:44:16%20GMT	https://templates.envytheme.com/plonk/default/venue.html	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/venue.html	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:54	30317/30317	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2007:44:13%20GMT	https://templates.envytheme.com/plonk/default/events-details.html	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/events-details.html	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:54	45644/45644	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2007:44:16%20GMT	https://templates.envytheme.com/plonk/default/speakers.html	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/speakers.html	(from https://templates.envytheme.com/plonk/default/pricing.html)
13:40:55	27994/27994	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2007:44:16%20GMT	https://templates.envytheme.com/plonk/default/speakers-details.html	G:/webdevolpment/frontend/bootstrap/project4_Event_Managment/themes/Event_managment/templates.envytheme.com/plonk/default/speakers-details.html	(from https://templates.envytheme.com/plonk/default/pricing.html)
